mode,key,cc,tid,name,official_url,access,resolution,resolution_note,emails,contact_pages,media_pages,legal_pages,logo_candidates,evidence_sources,review_flags,research_complete,publication_clearance
logo,BE:M02,BE,M02,Antique Fireplaces First,https://antiquefireplacesfirst.com/,manual_primary_source_review,none_after_manual_primary_source_search,"The indexed official site confirms the exact organisation, but exposes no technically sufficient standalone first-party logo source.",,,,,,https://antiquefireplacesfirst.com/,,True,not_cleared
logo,BE:M16,BE,M15,Het arduinen hoekje,https://arduinen-hoekje.be/,ok,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,info@arduinen-hoekje.be,https://arduinen-hoekje.be/nl/contact,,,,https://arduinen-hoekje.be/,,True,not_cleared
logo,CH:M13,CH,M14,ReUse Recycling Center Riedtwil / wiederverwendung.ch,https://www.wiederverwendung.ch/,ok,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,https://hiltbrunnerag.ch/kontakt.html,https://hiltbrunnerag.ch/Downloads_News_Offene_Stellen.html | https://hiltbrunnerag.ch/files/media/Dokumente/Preisliste%20RRC%202026.pdf | https://hiltbrunnerag.ch/files/media/Dokumente/2020-Geschaeftsuebergabe&Fusion.pdf | https://hiltbrunnerag.ch/files/media/Dokumente/AGB_hiltbrunnerag_Bereich_R%C3%BCckbau.pdf | https://hiltbrunnerag.ch/files/media/Dokumente/AGB_hiltbrunnerag_Bereich_ReUse-Recycling.pdf | https://hiltbrunnerag.ch/files/media/Dokumente/AGB_hiltbrunnerag_Bereich_R%C3%BCckbau-alt.pdf | https://hiltbrunnerag.ch/files/media/Dokumente/AGB_hiltbrunnerag_Bereich_ReUse.pdf,,,https://hiltbrunnerag.ch/reuse-recycling.html,,True,not_cleared
logo,CH:U01,CH,U01,aik Architektur + Ingenieur Kollektiv,,not_applicable,none_no_current_first_party_brand,Historical AIK project consultant; no exact current first-party organisation or logo found.,,,,,,,,True,not_cleared
logo,CH:U04,CH,U03,baubüro in situ,https://insitu.ch/,ok,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,info@insitu.ch,https://insitu.ch/kontakt | https://insitu.ch/kontakt/impressum,https://insitu.ch/doc/596 | https://insitu.ch/kontakt/impressum,https://insitu.ch/kontakt/impressum,,https://insitu.ch/,,True,not_cleared
logo,CH:U05,CH,U04,Bischof Föhn Architektur,https://www.bf-architekten.ch/,ok,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,info@bf-architekten.ch,,,,https://www.bf-architekten.ch/favicon.ico,https://www.bf-architekten.ch/,,True,not_cleared
logo,CH:U18,CH,U14,Oberli Ingenieurbau AG,,not_applicable,none_no_current_first_party_brand,Oberli Ingenieurbau is documented in project sources but no current first-party organisation or logo was found.,,,,,,,,True,not_cleared
logo,CH:U23,CH,U19,Studio Trachsler Hoffmann,https://trachslerhoffmann.ch/,ok,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,info@trachslerhoffmann.ch | ninfo@trachslerhoffmann.ch,https://trachslerhoffmann.ch/kontakt,https://trachslerhoffmann.ch/impressum,https://trachslerhoffmann.ch/impressum,https://freight.cargo.site/t/original/i/e05dd61f33b73abb8cc95b5a70a9a4db5280eef30e41245b8a53b3aa5916e79f/Favicon.ico,https://trachslerhoffmann.ch/,,True,not_cleared
logo,CH:U24,CH,U20,Syphon AG Bauteilbörse Biel-Brügg,https://stiftung-suedkurve.ch/,ok,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,info@bring-it.ch | info@jambo-lyss.ch | bistro-thun@stiftung-suedkurve.ch | hr@suedkurve-lyss.ch | kontakt-biel@stiftung-suedkurve.ch | kontakt-lyss@stiftung-suedkurve.ch | kontakt-thun@stiftung-suedkurve.ch | kontakt@stiftung-suedkurve.ch | kueche-lyss@stiftung-suedkurve.ch | mbachmann@stiftung-suedkurve.ch | mittelland@schuldensanierung-fss.ch | mzd@stiftung-suedkurve.ch | rechnungen-lyss@stiftung-suedkurve.ch | schreibkurve@suedkurve-thun.ch | welcome@connect-lyss.ch,https://stiftung-suedkurve.ch/ueber-uns/stiftung-suedkurve/team | https://stiftung-suedkurve.ch/ueber-uns/stiftung-suedkurve/kontakt | https://stiftung-suedkurve.ch/jobs | https://stiftung-suedkurve.ch/ueber-uns/stiftung-suedkurve/news/detail/neue-kueche-ein-gewinn-fuer-team-und-gaeste | https://stiftung-suedkurve.ch/ueber-uns/stiftung-suedkurve/news/detail/ein-neuer-standort-ein-starkes-team | https://stiftung-suedkurve.ch/ueber-uns/stiftung-suedkurve/team?address=1&type=889&cHash=2465fff11c44c4fcdc4f759d113a9d1a | https://stiftung-suedkurve.ch/ueber-uns/stiftung-suedkurve/team?address=2&type=889&cHash=2ef2158183045326ba52efe823a73b09 | https://stiftung-suedkurve.ch/ueber-uns/stiftung-suedkurve/team?address=3&type=889&cHash=c0d46fd0b9e4df76ace898c097acfd9f | https://stiftung-suedkurve.ch/ueber-uns/stiftung-suedkurve/team?address=4&type=889&cHash=e60b0336acff00d0539e6c15fea90e7a | https://stiftung-suedkurve.ch/ueber-uns/stiftung-suedkurve/team?address=5&type=889&cHash=c7de2f87de71453a33dfe64f3c071917,https://stiftung-suedkurve.ch/impressum,https://stiftung-suedkurve.ch/datenschutzerklaerung | https://stiftung-suedkurve.ch/impressum,,https://stiftung-suedkurve.ch/,,True,not_cleared
logo,CH:U25,CH,U21,Tschudin Rückbau und Demontagen GmbH,https://www.tschudin-rueckbau.ch/,ok,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,franz.schaffner@tschudin-gmbh.ch | karin.tozzo@tschudin-gmbh.ch,https://www.tschudin-rueckbau.ch/index.php/asdf-as-d,,,https://www.tschudin-rueckbau.ch/templates/tschudingmbh/favicon.ico,https://www.tschudin-rueckbau.ch/,,True,not_cleared
