key,cc,tid,name,official_url,candidate_url,research_confidence,research_note,access,final_url,content_type,format,width,height,minimum_128_ok,decision,publication_clearance,rights_research_status,rights_source_url,rights_research_note
BE:G01,BE,G01,ERDF / FEDER Brüssel-Hauptstadt,https://erdf.brussels/,https://feder.brussels/wp-content/uploads/2024/09/BI-FR-LOGO-WHITE.png,high,Current first-party FEDER Brussels wordmark.,ok,https://feder.brussels/wp-content/uploads/2024/09/BI-FR-LOGO-WHITE.png,image/png,png,336,83,False,unreviewed_research_lead,not_cleared,official_communications_kit_scope_review_required,https://feder.brussels/wp-content/uploads/2024/03/FEDER_KIT-COM-2021-2027.zip,"Official 2021-2027 communications kit contains PNG, EPS and AI logo variants plus guidance; intended-use scope still requires manual review."
BE:I04,BE,I02,OVAM (Openbare Vlaamse Afvalstoffenmaatschappij),https://ovam.vlaanderen.be/,https://ovam.vlaanderen.be/o/ovam-website-theme/assets/images/logo_be.png,manual_parent,Official OVAM page header asset; verify whether it is OVAM or the Flemish-government umbrella mark.,ok,https://ovam.vlaanderen.be/o/ovam-website-theme/assets/images/logo_be.png,image/png,png,121,68,False,unreviewed_research_lead,not_cleared,no_explicit_logo_permission_found,,
BE:M28,BE,M26,Recupan bvba,http://www.recupan.be/,http://www.recupan.be/wp-content/uploads/2012/12/logo.gif,high,Exact first-party Recupan logo-named image.,ok,http://www.recupan.be/wp-content/uploads/2012/12/logo.gif,image/gif,gif,176,111,False,unreviewed_research_lead,not_cleared,no_explicit_logo_permission_found,,
BE:M32,BE,M29,Van Huele,https://www.vanhuele.be/,http://www.vanhuele.be/wp-content/uploads/2015/08/VanHuele_Logo.png,high,Exact first-party Van Huele logo-named image.,ok,https://www.vanhuele.be/wp-content/uploads/2015/08/VanHuele_Logo.png,image/png,png,99,30,False,unreviewed_research_lead,not_cleared,no_explicit_logo_permission_found,,
CH:M07,CH,M07,Bauteilverwertung Köppel & Klein,https://www.bauteilverwertung.ch/,https://www.bauteilverwertung.ch/img/logo2.png,high,Exact first-party Bauteilverwertung logo-named image.,ok,https://www.bauteilverwertung.ch/img/logo2.png,image/png,png,400,91,False,unreviewed_research_lead,not_cleared,no_explicit_logo_permission_found,,
CH:U20,CH,U16,Pascal Flammer Architekten,https://www.pascalflammer.com/,https://www.pascalflammer.com/static/favicon/apple-touch-icon.891ee2c70a35.png,manual_icon,First-party Apple Touch icon; verify against full Pascal Flammer identity.,ok,https://www.pascalflammer.com/static/favicon/apple-touch-icon.891ee2c70a35.png,image/png,png,180,180,True,unreviewed_research_lead,not_cleared,no_explicit_logo_permission_found,,
DE:N02,DE,N02,bauteilnetz Deutschland,http://www.bauteilnetz.de/,http://www.bauteilnetz.de/bauteilnetz/bilder/btn/logos/logo_schrift_384_weiss.png,high,Exact first-party bauteilnetz wordmark.,ok,http://www.bauteilnetz.de/bauteilnetz/bilder/btn/logos/logo_schrift_384_weiss.png,image/png,png,384,88,False,unreviewed_research_lead,not_cleared,no_explicit_logo_permission_found,,
DE:U14,DE,U06,Die Zusammenarbeiter,https://zusammenarbeiter.de/,https://zusammenarbeiter.de/img/dza_logo.png,high,Exact first-party Die Zusammenarbeiter logo-named image.,ok,https://zusammenarbeiter.de/img/dza_logo.png,image/png,png,710,124,False,unreviewed_research_lead,not_cleared,no_explicit_logo_permission_found,,
DK:M02,DK,M02,Byggeboersen,,https://www.xn--byggebrsen-5cb.dk/icons/apple-touch-icon.png,manual_icon,Current exact first-party Byggebørsen site icon.,ok,https://www.xn--byggebrsen-5cb.dk/icons/apple-touch-icon.png,image/png,png,180,180,True,unreviewed_research_lead,not_cleared,no_explicit_logo_permission_found,,
FI:U04,FI,U04,Durat,https://durat.fi/,https://durat.fi/cdn/shop/files/Durat_logo_1200_x_3390_px_3.png?v=1731570759,high,Exact current first-party Durat logo; visually checked at its native 1200 x 3390 px resolution.,ok,https://durat.fi/cdn/shop/files/Durat_logo_1200_x_3390_px_3.png?v=1731570759,image/png,png,1200,3390,True,unreviewed_research_lead,not_cleared,official_marketing_contact_found_permission_not_requested,https://durat.fi/pages/yhteystiedot,Official contact page identifies marketing and communications contacts; no permission request has been sent.
FR:M05,FR,M05,Bathestia Recup,https://bathestia.fr/,https://bathestia.fr/img_fixes/logo_blanc_100px.webp,low_resolution,"Exact first-party Bathestia wordmark, likely below the 128 px minimum.",ok,https://bathestia.fr/img_fixes/logo_blanc_100px.webp,image/webp,webp,100,100,False,unreviewed_research_lead,not_cleared,official_site_restricts_reproduction_permission_required,https://bathestia.fr/mentions-legales.html,Official legal notice restricts reproduction of site illustrations without prior agreement; the logo must not be treated as cleared.
