key,cc,tid,name,official_url,disposition,resolution,resolution_note,candidate_url,candidate_kind,technical_minimum_ok,evidence_sources,review_flags,decision,publication_clearance,production_state_changed,research_complete
BE:G01,BE,G01,ERDF / FEDER Brüssel-Hauptstadt,https://erdf.brussels/,none,none_below_128_minimum,Current first-party FEDER Brussels wordmark. The source fails the 128 px shortest-edge requirement.,,,False,https://erdf.brussels/ | https://feder.brussels/wp-content/uploads/2024/09/BI-FR-LOGO-WHITE.png | https://feder.brussels/wp-content/uploads/2024/03/FEDER_KIT-COM-2021-2027.zip,,research_none_terminal,not_cleared,False,True
BE:I04,BE,I02,OVAM (Openbare Vlaamse Afvalstoffenmaatschappij),https://ovam.vlaanderen.be/,none,none_below_128_minimum,Official OVAM page header asset; verify whether it is OVAM or the Flemish-government umbrella mark. The source fails the 128 px shortest-edge requirement.,,,False,https://ovam.vlaanderen.be/ | https://ovam.vlaanderen.be/o/ovam-website-theme/assets/images/logo_be.png,,research_none_terminal,not_cleared,False,True
BE:M02,BE,M02,Antique Fireplaces First,https://antiquefireplacesfirst.com/,none,none_after_manual_primary_source_search,"The indexed official site confirms the exact organisation, but exposes no technically sufficient standalone first-party logo source.",,,False,https://antiquefireplacesfirst.com/,,research_none_terminal,not_cleared,False,True
BE:M16,BE,M15,Het arduinen hoekje,https://arduinen-hoekje.be/,none,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,,False,https://arduinen-hoekje.be/,,research_none_terminal,not_cleared,False,True
BE:M28,BE,M26,Recupan bvba,http://www.recupan.be/,none,none_below_128_minimum,Exact first-party Recupan logo-named image. The source fails the 128 px shortest-edge requirement.,,,False,http://www.recupan.be/ | http://www.recupan.be/wp-content/uploads/2012/12/logo.gif,,research_none_terminal,not_cleared,False,True
BE:M32,BE,M29,Van Huele,https://www.vanhuele.be/,none,none_below_128_minimum,Exact first-party Van Huele logo-named image. The source fails the 128 px shortest-edge requirement.,,,False,https://www.vanhuele.be/ | http://www.vanhuele.be/wp-content/uploads/2015/08/VanHuele_Logo.png,,research_none_terminal,not_cleared,False,True
CH:M04,CH,M04,Bauteilkatalog Immobilien Basel-Stadt,https://www.bs.ch/,none,none_false_positive_assets,"The raw hits are an unrelated conference logo and photographs. The official Basel-Stadt parent mark is supplied only on request, not as a public standalone file.",,,False,"https://www.bs.ch/ | https://www.bs.ch/_nuxt/logo-metropolitankonferenz.DcnabBCn.png | https://media.bs.ch/fe_nuxt_crop/variables-w-396-h-297/0d55c476a92385cf45fb8bdb9bd5cf8036c223a4/image.jpg | https://media.bs.ch/dynamic/noop/ebe96370597982f15880199903f779022459da81/kleinbasel-02.jpg | https://www.bs.chStadt im Hintergrund."" /> Importiert Nein Organisationen IT BS | https://media.bs.ch/og_image/1b4c7a5f8513e495cde77c735ccbbf6050748bd7/rathaus-backview.png?h=8abcec71&itok=IW7GrtdN",,research_none_terminal,not_cleared,False,True
CH:M07,CH,M07,Bauteilverwertung Köppel & Klein,https://www.bauteilverwertung.ch/,none,none_below_128_minimum,Exact first-party Bauteilverwertung logo-named image. The source fails the 128 px shortest-edge requirement.,,,False,https://www.bauteilverwertung.ch/ | https://www.bauteilverwertung.ch/img/logo2.png,,research_none_terminal,not_cleared,False,True
CH:M13,CH,M14,ReUse Recycling Center Riedtwil / wiederverwendung.ch,https://www.wiederverwendung.ch/,none,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,,False,https://hiltbrunnerag.ch/reuse-recycling.html,,research_none_terminal,not_cleared,False,True
CH:U01,CH,U01,aik Architektur + Ingenieur Kollektiv,,none,none_no_current_first_party_brand,Historical AIK project consultant; no exact current first-party organisation or logo found.,,,False,,,research_none_terminal,not_cleared,False,True
CH:U04,CH,U03,baubüro in situ,https://insitu.ch/,none,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,,False,https://insitu.ch/,,research_none_terminal,not_cleared,False,True
CH:U05,CH,U04,Bischof Föhn Architektur,https://www.bf-architekten.ch/,none,none_after_exhaustive_official_site_search,No technically sufficient first-party logo candidate was found on the official site.,,,False,https://www.bf-architekten.ch/,,research_none_terminal,not_cleared,False,True
