key,cc,tid,name,result,official_url,access_status,research_status,preferred_permission_email,contact_pages,legal_pages,brand_media_pages,policy_snippets,prior_rights_status,prior_print_clearance,publication_clearance
AT:F02,AT,F01,MedUni Wien,logo,https://www.meduniwien.ac.at/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,presse@meduniwien.ac.at,https://www.meduniwien.ac.at/web/kontakt/ | https://www.meduniwien.ac.at/web/ueber-uns/news/,https://www.meduniwien.ac.at/web/impressum/ | https://www.meduniwien.ac.at/web/rechtliches/datenschutzerklaerung/,https://www.meduniwien.ac.at/web/presse-meduni-wien/ | https://www.meduniwien.ac.at/web/presse-meduni-wien/buchreihe-gesundheitwissen/,"der Zukunft der Medizin Willkommen in der Zukunft der Medizin Exzellenz durch Innovation Studieren, lehren und forschen – im Herzen Europas News Alle News 13. August 2026 Urin-Biomarker zeigen Potenzial für nicht-invasive Diagnose von Nierenkrebs Drei Proteine im Urin könnten eine Erkennung des klarzelligen Nierenzellkarzinoms ermöglichen 14. August 2026 Acht Horizon-Europe-Erfolge für die MedUni Wien Forschungsprojekte der MedUni Wien in zahlreichen zentralen | ische Universität Wien Wir nutzen Cookies Wir verwenden Cookies, die zum einen technisch notwendig für die Funktionalität unserer Website sind, aber auch Cookies zu funktionellen, Marketing- und Analysezwecken um das Nutzungserlebnis auf unserer Seite zu optimieren. Mit Ihrer Einwilligung zu den Cookies werden sowohl von uns Daten verarbeitet als auch von Drittanbieter:innen, die ihren Sitz teilweise in Drittländern (z.B. den USA) haben. Nähere Informationen zu | tion zur Medizinischen Universität Wien Jahresbericht MedUnique-people - Das Magazin der MedUni Wien Imagebroschüre Buchreihe „Gesundheit.Wissen“ Pressefotos Bildergalerien Videos Logos Für Fragen stehe ich Ihnen sehr gerne jederzeit zur Verfügung. Mag. Johannes Angerer Leiter Unternehmenskommunikation und Pressesprecher M: +43 (0)664 80016-11501 presse@meduniwien.ac.at Presse | MedUni Wien Presseaussendungen Basisinformationen Jahresbericht MedUnique-people I | magebroschüre Buchreihe „Gesundheit.Wissen“ Pressefotos Bildergalerien Videos Logos Über Uns News Events Facts & Figures Strategie und Vision Organisation Campus und Uni-Leben Antidiskriminierung Bibliothek Young Scientist Association (YSA) Wissenschafter­innennetzwerk für Medizin Alumni Club Kooperationen Geschichte Historische Sammlungen - Josephinum Forschu | gung sowie Mitteilungen gemäß Universitätsgesetz 2002. Website: Konzept, Webdesign, Frontend-Development und TYPO3-Umsetzung: FONDA – Agentur für digitale Medien und Kommunikation Branding und Corporate Design: Brainds, Marken und Design GmbH Impressum Über Uns News Events Facts & Figures Strategie und Vision Organisation Campus und Uni-Leben Antidiskriminierung Bibliothek Young Scientist Association (YSA) Wissenschafter­innennetzwerk für Medizin Alumni Club Ko",permission_required,blocked_pending_permission,blocked_no_permission_requested
AT:I01,AT,I01,BIG (Bundesimmob.),logo,https://www.big.at/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,,https://www.big.at/ueber-uns | https://www.big.at/ueber-uns/portfolio,https://www.big.at/impressum | https://www.big.at/datenschutz,https://www.big.at/presse-news/downloads | https://www.big.at/presse-news,"Logos & Downloads – BIG var _mtm = window._mtm = window._mtm || []; _mtm.push({'mtm.startTime': (new Date().getTime()), 'event': 'mtm.Start'}); (function() { var d=document, g=d.createElement('script'), s=d.getElementsByTagName('script')[0]; g.async=true; g.src='https://matomo.big.at | il Highlights Downloads Karriere Offene Stellen Bewerberlogin Die BIG als Arbeitgeberin Wofür wir stehen Starte deine Karriere Ansprechpartner*innen Sprache de English Downloads & Logos Fotos dürfen ausschließlich zur redaktionellen Berichterstattung über die Bundesimmobiliengesellschaft (BIG) honorarfrei verwendet werden. Alle Fotos müssen bei einer Veröffentlichung mit dem Copyright des Fotografen gekennzeichnet sein. © Daniel Hinterramskogler DI Gerald Beck | us & Gerald Beck Download © Daniel Hinterramskogler Dr. Christine Dornaus Download © Markus Schieder BIG Konzernzentrale Download © David Schreyer BIG Konzernzentrale Download BIG Logos BIG Logo Langform PDF BIG Logo Langform JPG 72 dpi BIG Logo Langform JPG 300 dpi BIG Logo Kurzform PDF BIG Logo Kurzform JPG 72 dpi BIG Logo Kurzform JPG 300 dpi BIG Logo Kurzform PNG Allgemeine Vertragsbedingungen Bundesimmobiliengesellschaft m.b.H. Trabrennstraße 2c, 1020 Wie | Bundesimmobiliengesetz, BGBl. I Nr. 141/2000 i.d.g.F. Nutzungsbedingungen Die Inhalte dieser Website wurden mit größtmöglicher Sorgfalt und unter Beachtung von Rechten Dritter (zB Urheberrecht) erstellt. Zwar wird diese Website regelmäßig auf Aktualität, Vollständigkeit und Richtigkeit überprüft, dies kann jedoch trotzdem nicht gewährleistet werden. Wir ersuchen daher bei Unklarheiten direkt mit uns Kontakt aufzunehmen. Eine Haftung für die Inhalte auf dieser Website",permission_required,blocked_pending_permission,blocked_no_permission_requested
AT:I02,AT,I02,"VIE.CYCLE / DoTank Circular City Wien 2020–2030 (Stadt Wien, Stabsstelle SRN)",logo,https://viecycle.wien.gv.at/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,socialmedia@ma53.wien.gv.at,https://www.wien.gv.at/kontakt/medienservice,https://www.wien.gv.at/inhalt/impressum | https://www.wien.gv.at/inhalt/datenschutz,https://www.wien.gv.at/inhalt/impressum | https://www.wien.gv.at/kontakt/medienservice,"as-edit-mode-menu .wm-stage__media .wm-image { width: 100%; height: auto; min-height: 200px; } (function(){var configuration={""txtright"":false,""uberschrift"":""h1"",""alternative"":"""",""copyrightInformation"":""Stadt Wien / Christian F\u00fcrthner"",""mitlink"":false};var fragmentElement=document.querySelector(""#fragment-6085-jpff"");var fragmentNamespace=""jpff"";AUI().ready(function(A){const image=fragmentElement.querySelector("".js-wm-image"");const modal=fragmentElement.queryS | ""undefined"") { initTabs(); wmDesign.tabs = ""done""; } }); import { initMenus } from 'https://viecycle.wien.gv.at/o/microsites-theme/js/components/nav-main.legacy.js'; import { initCopyright } from 'https://viecycle.wien.gv.at/o/microsites-theme/js/components/copyright-1.0.0.min.js'; initCopyright(); var nav; Liferay.Portlet.ready(function(_portletId, _node) { if (/*wmDesign.sennaNavigation == true && */ typeof(wmDesign.menus) == ""undefined"") { console.debug(""DEBUG | für all jene, die etwas von der Stadtverwaltung benötigen oder mehr über die österreichische Bundeshauptstadt erfahren möchten. Inhaltliche Verantwortung Technische Verantwortung Urheberrecht Haftung Verweise und Links Gebührenpflicht Datenschutz Inhaltliche Verantwortung Das Angebot von wien.gv.at besteht aus einem redaktionell gestalteten Teil, zahlreichen Online-Services und Open Government Data . Die Angebote werden von den zuständigen Magistratsabteilungen sowie | r der E-Mail-Adresse post@ma01.wien.gv.at , ist Service-Provider für wien.gv.at. Die MA 01 betreibt die komplette Server - und Netzwerkinfrastruktur in einem 7x24-Stunden-Betrieb. Urheberrecht Das Layout und die Gestaltung des Angebots sowie seiner einzelnen Elemente wie Logos, Fotos usw. sind urheberrechtlich geschützt. Gleiches gilt für die redaktionellen Beiträge im Einzelnen sowie ihre Auswahl und Zusammenstellung; Veränderungen daran dürfen nicht vorgenommen werd | alt/impressum#Organization-1c827""}],""dateModified"":""2026-08-11T12:39:34+02:00"",""datePublished"":""2011-05-17T11:30:00+02:00"",""description"":""Inhaltliche und technische Verantwortung, Urheberrecht, Haftung usw. von wien.gv.at"",""headline"":""Impressum"",""inLanguage"":""de-DE"",""mainEntityOfPage"":""https://www.wien.gv.at/inhalt/impressum"",""name"":""Impressum"",""url"":""https://www.wien.gv.at/inhalt/impressum""}",permission_required,blocked_pending_permission,blocked_no_permission_requested
AT:I03,AT,I03,WSE Wiener Standortentwicklung GmbH,logo,https://wse.at/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,hinweis@meinhinweis.at,https://wse.at/kontakt,https://wse.at/impressum | https://wse.at/datenschutz,https://wse.at/presse-2 | https://wse.at/presse,"piCId, piHostname; Unternehmen News Projekte Immobilienangebote Karriere Kontakt Newsletter Unternehmen News Projekte Immobilienangebote Karriere Kontakt Newsletter Downloads WSE Logo WSE CMYK EPS WSE CMYK JPG WSE RGB EPS WSE RGB JPG WSE mit Wien Holding CMYK EPS WSE mit Wien Holding CMYK JPG Boschüre „City in Progress"" 2024 Broschüre herunterladen Projektbroschüre WSE 2018 Broschüre herunterladen Broschüre „Freiraum Kunst“ 2018 Broschüre herunterladen Boschü | zoom: 11, center: {lat: 48.208252, lng: 16.360541}, // Zentriert auf Wien styles: mapStyle // Wendet den Snazzy Maps Stil an }); var infoWindow = new google.maps.InfoWindow(); var markers = []; locations.forEach(function(location, i) { var marker = new google.maps.Marker({ position: location, map: map, icon: { url: location.icon, // Use the specific icon for this location scaledSize: new google.maps.Size(60, 50) // Resize the icon to 20x20 pixels } }); marker.a | ddListener('click', function() { infoWindow.setContent(location.info); infoWindow.open(map, marker); }); markers.push(marker); }); // Adjust map to fit all markers var bounds = new google.maps.LatLngBounds(); for (var i = 0; i < markers.length; i++) { bounds.extend(markers[i].getPosition()); } map.fitBounds(bounds); window.openInfoWindow = function(index) { // Open the marker's info window after scrolling setTimeout(function() { infoWind | ow.setContent(locations[index].info); infoWindow.open(map, markers[index]); }, 500); // Adjust delay if necessary } } window.onload = function() { checkCookie(); }; Presse Downloads Newsletter Datenschutz Impressum & Compliance Kontakt | tem und dem dahinterstehenden Prozess. NUTZUNG DER INHALTE: Bitte sehen Sie von einer weiteren Nutzung der Inhalte ab, falls Sie den folgenden Bestimmungen nicht zustimmen können! Copyright Der Inhalt dieser Seiten ist urheberrechtlich geschützt. Jede weitergehende Verwendung, insbesondere die Speicherung in Datenbanken, Veröffentlichung, Vervielfältigung und jede Form von gewerblicher Nutzung sowie die Weitergabe an Dritte - auch in Teilen oder in überarbeiteter F | z.B. zur Vorlage bei Dritten erfolgt. Jegliche auch teilweise Verwendung des Quellcodes sowie anderer Systemteile und publizierten Materialien (Bilder, Sounds usw.) unterliegt dem Copyright sowie den Lizenzbestimmungen des Herstellers und Bedarf seiner ausdrücklichen und schriftlichen Zustimmung. Haftungsausschluss Der Herausgeber erstellt und redigiert die in dieser Website publizierten Informationen nach bestem Wissen und Gewissen in der Absicht, den Benutzern se",permission_required,blocked_pending_permission,blocked_no_permission_requested
AT:M01,AT,M01,BauKarussell,logo,https://www.baukarussell.at/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,bermadinger@baukarussell.at,https://www.baukarussell.at/team/ | https://www.baukarussell.at/kontakt/,https://www.baukarussell.at/impressum/ | https://www.baukarussell.at/datenschutz/,https://www.baukarussell.at/impressum/,"r,.wp-block-social-links .wp-block-social-link.wp-social-link .wp-block-social-link-anchor:visited{fill:currentColor;color:currentColor}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link{background-color:#f0f0f0;color:#444}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-amazon{background-color:#f90;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-bandcamp{background-color:#1ea0c3 | ;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-behance{background-color:#0757fe;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-bluesky{background-color:#0a7aff;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-codepen{background-color:#1e1f26;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-deviantart{background | -color:#02e49b;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-discord{background-color:#5865f2;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-dribbble{background-color:#e94c89;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-dropbox{background-c | olor:#4280ff;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-etsy{background-color:#f45800;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-facebook{background-color:#0866ff;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-fivehundredpx{backgroun | d-color:#000;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-flickr{background-color:#0461dd;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-foursquare{background-color:#e65678;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-github{background-c | olor:#24292d;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-goodreads{background-color:#eceadd;color:#382110}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-google{background-color:#ea4434;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-gravatar{backgrou | nd-color:#1d4fc4;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-instagram{background-color:#f00075;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-lastfm{background-color:#e21b24;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-linkedin{background- | color:#0d66c2;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-mastodon{background-color:#3288d4;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-medium{background-color:#000;color:#fff}:where(.wp-block-social-links:not(.is-style-logos-only)) .wp-social-link-meetup{background-color:",permission_required,blocked_pending_permission,blocked_no_permission_requested
AT:M02,AT,M02,Baustoffmanufaktur (DN das Nord GmbH),logo,https://www.baustoffmanufaktur.at/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,Kappeschwarz@300x-1030x317.png,https://www.baustoffmanufaktur.at/,https://www.baustoffmanufaktur.at/impressum/,https://www.baustoffmanufaktur.at/impressum/,"den mit Geschichte Alte Holzb\u00f6den | Historische Baustoffe Individuell | Nachhaltig | Handgearbeitet"",""url"":""https:\/\/www.baustoffmanufaktur.at\/"",""telephone"":""+43285221122"",""logo"":{""@type"":""ImageObject"",""url"":""https:\/\/www.baustoffmanufaktur.at\/wp-content\/uploads\/2021\/02\/cropped-FAV_2021V2.png"",""@id"":""https:\/\/www.baustoffmanufaktur.at\/#organizationLogo"",""width"":512,""height"":512},""image"":{""@id"":""https:\/\/www.baustoffmanufaktur.at\/#organizationL | rage': BorlabsCookie.Consents.hasConsentForServiceGroup('statistics') === true ? 'granted' : 'denied', 'personalization_storage': BorlabsCookie.Consents.hasConsentForServiceGroup('marketing') === true ? 'granted' : 'denied', 'security_storage': BorlabsCookie.Consents.hasConsentForServiceGroup('statistics') === true ? 'granted' : 'denied', }; } else { gtmConsents = { 'ad_storage': BorlabsCookie.Consents.hasConsentForServiceGroup('marketing') === true ? 'granted' | : 'denied', 'ad_user_data': BorlabsCookie.Consents.hasConsentForServiceGroup('marketing') === true ? 'granted' : 'denied', 'ad_personalization': BorlabsCookie.Consents.hasConsentForServiceGroup('marketing') === true ? 'granted' : 'denied', 'analytics_storage': BorlabsCookie.Consents.hasConsentForServiceGroup('statistics') === true ? 'granted' : 'denied', 'funct | rage': BorlabsCookie.Consents.hasConsentForServiceGroup('statistics') === true ? 'granted' : 'denied', 'personalization_storage': BorlabsCookie.Consents.hasConsentForServiceGroup('marketing') === true ? 'granted' : 'denied', 'security_storage': BorlabsCookie.Consents.hasConsentForServiceGroup('statistics') === true ? 'granted' : 'denied', }; } BorlabsCookie.CookieLibrary.setCookie( 'borlabs-cookie-gcs', JSON.stringify(gtmConsents), BorlabsCookie.Settings.automa | den mit Geschichte Alte Holzb\u00f6den | Historische Baustoffe Individuell | Nachhaltig | Handgearbeitet"",""url"":""https:\/\/www.baustoffmanufaktur.at\/"",""telephone"":""+43285221122"",""logo"":{""@type"":""ImageObject"",""url"":""https:\/\/www.baustoffmanufaktur.at\/wp-content\/uploads\/2021\/02\/cropped-FAV_2021V2.png"",""@id"":""https:\/\/www.baustoffmanufaktur.at\/impressum\/#organizationLogo"",""width"":512,""height"":512},""image"":{""@id"":""https:\/\/www.baustoffmanufaktur.at\/imp | ressum\/#organizationLogo""},""sameAs"":[""https:\/\/facebook.com\/baustoffmanufaktur.at"",""https:\/\/instagram.com\/baustoffmanufaktur.at"",""https:\/\/pinterest.com\/baustoffmanufaktur.at"",""https:\/\/youtube.com\/baustoffmanufaktur.at""]},{""@type"":""WebPage"",""@id"":""https:\/\/www.baustoffmanufaktur.at\/impressum | inkten Seiten ist jedoch ohne konkrete Anhaltspunkte einer Rechtsverletzung nicht zumutbar. Bei Bekanntwerden von Rechtsverletzungen werden wir derartige Links umgehend entfernen. URHEBERRECHT Die durch die Seitenbetreiber erstellten Inhalte und Werke auf diesen Seiten unterliegen dem deutschen Urheberrecht. Die Vervielfältigung, Bearbeitung, Verbreitung und jede Art der Verwertung außerhalb der Grenzen des Urheberrechtes bedürfen der schriftlichen Zustimmung des jewe | oads und Kopien dieser Seite sind nur für den privaten, nicht kommerziellen Gebrauch gestattet. Soweit die Inhalte auf dieser Seite nicht vom Betreiber erstellt wurden, werden die Urheberrechte Dritter beachtet. Insbesondere werden Inhalte Dritter als solche gekennzeichnet. Sollten Sie trotzdem auf eine Urheberrechtsverletzung aufmerksam werden, bitten wir um einen entsprechenden Hinweis. Bei Bekanntwerden von Rechtsverletzungen werden wir derartige Inhalte umgehend e",permission_required,blocked_pending_permission,blocked_no_permission_requested
AT:M03,AT,M03,Bauteilbörse (bauteilboerse.at),logo,https://www.bauteilboerse.at/,ok,contact_route_found_permission_not_requested,office@bauteilboerse.at,,,,,permission_required,blocked_pending_permission,blocked_no_permission_requested
AT:M04,AT,M04,CIRCON,logo,https://www.circon.at/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,info@circon.at,https://www.circon.at,https://www.circon.at/impressum | https://www.circon.at/datenschutz,https://www.circon.at/impressum,"c.com\/"",""userDomainMediaPrefixes"":[]},""requestUrl"":""https:\/\/www.circon.at\/"",""rollout"":{""siteAssetsVersionsRollout"":false,""isDACRollout"":0,""isTBRollout"":false},""commonConfig"":{""brand"":""wix"",""host"":""VIEWER"",""bsi"":"""",""consentPolicy"":{},""consentPolicyHeader"":{},""siteRevision"":""4"",""branchId"":""c86a47a4-58d9-40a9-acbf-84abfe04da4c"",""renderingFlow"":""NONE"",""language"":""de"",""locale"":""de-at""},""interactionSampleRatio"":0.01,""accessTokensUrl"":""https:\/\/www.circon.at\/_ap | (stroke-color:transparent){._v6ohL>*>:first-child{vertical-align:top}}@supports (-webkit-touch-callout:none){._v6ohL>*>:first-child{vertical-align:top}}._v6ohL [data-attr-richtext-marker=true]{display:block}._v6ohL [data-attr-richtext-marker=true] table{border-collapse:collapse;width:100%;margin:15px 0}._v6ohL [data-attr-richtext-marker=true] table td{padding:12px;position:relative}._v6ohL [data-attr-richtext-marker=true] table td:after{content:"""";opacity:.2;bo | rder-bottom:1px solid;border-left:1px solid;position:absolute;inset:0}._v6ohL [data-attr-richtext-marker=true] table tr td:last-child:after{border-right:1px solid}._v6ohL [data-attr-richtext-marker=true] table tr:first-child td:after{border-top:1px solid}.N5mCVp :is(p,h1,h2,h3,h4,h5,h6,ul,ol,span[data-attr-richtext-marker],blockquote,div) [class$=rich-text__text],.N5mCVp :is(p,h1, | h2,h3,h4,h5,h6,ul,ol,span[data-attr-richtext-marker],blockquote,div)[class$=rich-text__text]{color:var(--corvid-color,currentColor)}.N5mCVp :is(p,h1,h2,h3,h4,h5,h6,ul,ol,span[data-attr-richtext-marker],blockquote,div) span[style*=color]{color:var(--corvid-color,currentColor)!important}.V3wkP4{min-height:var(--min-height);min-wid | ""userDomainMediaPrefixes"":[]},""requestUrl"":""https:\/\/www.circon.at\/impressum"",""rollout"":{""siteAssetsVersionsRollout"":false,""isDACRollout"":0,""isTBRollout"":false},""commonConfig"":{""brand"":""wix"",""host"":""VIEWER"",""bsi"":"""",""consentPolicy"":{},""consentPolicyHeader"":{},""siteRevision"":""4"",""branchId"":""c86a47a4-58d9-40a9-acbf-84abfe04da4c"",""renderingFlow"":""NONE"",""language"":""de"",""locale"":""de-at""},""interactionSampleRatio"":0.01,""accessTokensUrl"":""https:\/\/www.circon.at\/_ap | ypesInViewer"":""true"",""specs.ecom.OrdersModifiers"":""true"",""specs.ecom.loadDeliverySectionsDataOnReadOnly"":""true"",""specs.stores.PPNavigationSectionPerBreakpoint"":""true"",""ecomCheckoutBrandStyling"":""B"",""specs.stores.UseStoreLanguageForTranslations"":""false"",""ecomShowCodeSectionWhenApplied"":""B"",""specs.stores.EnableOutOfStockAlignment"":""true"",""specs.stores.GalleryStoreExtractBI"":""true"",""specs.forms.EnablePhoneField"":""true"",""specs.stores.UseNewQueriesOnWishlistWithDisc | se customer will receive protected link to download files. "",""name"":""Sell Downloadable goods"",""id"":""8ffdce81-2a11-49e9-83b3-6d1e8fb833a3""},{""description"":""Export products to major marketplaces sites like eBay, Amazon, Google Shopping, Shopping.com and more."",""name"":""Sell on Marketplaces"",""id"":""6c29cceb-0662-488c-8385-366d7e8e4ff4""},{""description"":""Manage your store on the go and accept credit card payments in person with Square and PayPal Here card readers."",""n | ore plans)."",""name"":""Point-of-Sale Integrations"",""id"":""8ba8812b-4dd9-4d25-8ea5-1eb1ed173009""},{""description"":""Allow your customers to shop from their mobile devices with your own, branded iOS and Android shopping app (available on the Annual Unlimited plan)."",""name"":""ShopApp application"",""id"":""a6f6ebbf-7dd3-4cca-b3b0-b34dc8b1e722""}],""isExternalPricing"":false,""languageCode"":""en"",""isInAppPurchase"":false,""freeTrialDays"":0,""plans"":[{""name"":""Starter"",""vendorId"":""WIX",permission_required,blocked_pending_permission,blocked_no_permission_requested
AT:N01,AT,N01,Die Kümmerei,logo,https://www.die-kuemmerei.at/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,info@die-kuemmerei.at,https://www.die-kuemmerei.at/de/kontakt | https://www.die-kuemmerei.at/de/ueber-uns,https://www.die-kuemmerei.at/de/impressum | https://www.die-kuemmerei.at/de/datenschutz,https://www.die-kuemmerei.at/de/impressum,"en""}}, {""classNames"":{""selected"":""active""},""offCanvas"":{""page"":{""selector"":""#wrapper""}}}); } ); /* Carousel */ $('#carousel-shop').on('slide.bs.carousel', function (e) { /* CC 2.0 License Iatek LLC 2018 - Attribution required */ var $e = $(e.relatedTarget); var idx = $e.index(); var itemsPerSlide = 4; var totalItems = $('#carousel-shop .carousel-item').length; if (idx >= totalItems-(itemsPerSlide-1)) { var it = itemsPerSlide - (totalItems - idx); for (var i=0; i<",permission_required,blocked_pending_permission,blocked_no_permission_requested
AT:N02,AT,N02,DRZ,logo,https://www.drz-wien.at/,ok,explicit_rights_or_brand_text_found_manual_legal_review_required,,https://www.vhs.at/de/e/drz/kontakt,https://www.vhs.at/de/impressum | https://www.vhs.at/de/datenschutz,https://www.vhs.at/de/impressum | https://www.vhs.at/de/e/drz/downloads,"ir zu einer Teilnahme an einem Schlichtungsverfahren nach dem Alternative-Streitbeilegung-Gesetz nicht verpflichtet und werden an einem derartigen Verfahren auch nicht teilnehmen. Copyright Der Inhalt dieser Seiten ist grundsätzlich urheberrechtlich geschützt. Bei über den persönlichen Gebrauch hinausgehender Verwendung (Veröffentlichung, Vervielfältigung, Weitergabe an Dritte, Abdruck in Medien) ist Die Wiener Volkshochschulen GmbH zu zitieren. Fotos Die Wiener Vo | und nicht an Dritte weitergegeben werden dürfen. Sofern nicht anders angegeben liegen die Rechte an den Fotos bei der VHS. Nur Fotos, bei denen Die Wiener Volkshochschulen GmbH im Copyright genannt ist, dürfen an Dritte weitergegeben werden. Diese Fotos dürfen unter folgenden Bedingungen verwendet werden: Die Wiener Volkshochschulen GmbH hat der Verwendung schriftlich zugestimmt. Die Fotos werden in Beiträgen, in denen Die Wiener Volkshochschulen GmbH erwähnt wird,",permission_required,blocked_pending_permission,blocked_no_permission_requested
