"key","cc","tid","name","official_url","reason"
"FR:S02","FR","S02","Cycle ZÃ©ro","https://cyclezero.fr/","No identity-safe candidate collected."
"FR:U12","FR","U10","RÃ©habail","","organisation domain is not accepted"
"FR:O02","FR","O02","Le WIP","https://www.le-wip.com/","No identity-safe candidate collected."
"FR:U02","FR","U02","Archipel zÃ©ro","https://archipelzero.wixsite.com/","No identity-safe candidate collected."
"FR:F01","FR","F01","CSTB","https://www.cstb.fr/","No identity-safe candidate collected."
"FR:N02","FR","N02","Bellastock","https://www.bellastock.com/","No identity-safe candidate collected."
"FR:M05","FR","M05","Bathestia Recup","https://bathestia.fr/","No identity-safe candidate collected."
"FR:M08","FR","M08","Bourgogne MatÃ©riaux Anciens","https://www.bourgogne-materiaux-anciens.fr/","No identity-safe candidate collected."
"FR:M09","FR","M09","Broc'Antique","","organisation domain is not accepted"
"FR:M17","FR","M17","Enfin!RÃ©emploi","https://enfin-reemploi.fr/","No identity-safe candidate collected."
"FR:M21","FR","M21","GuÃ©rin CheminÃ©es","https://www.guerin-cheminees.com/","No identity-safe candidate collected."
"FR:M25","FR","M25","Labrouche Antiquaire de MatÃ©riaux","https://antiquairedemateriaux.com/","No identity-safe candidate collected."
"FR:M28","FR","M28","Lascombes MatÃ©riaux Anciens Sud-Ouest","https://www.lascombes-sud-ouest.fr/","No identity-safe candidate collected."
"FR:M42","FR","M40","Pierres & Jardins d'Autrefois","https://www.pierres-et-jardins.com/","No identity-safe candidate collected."
"FR:M45","FR","M43","Provence Vieux MatÃ©riaux Brachet","https://www.brachet-anciensmateriaux.fr/","No identity-safe candidate collected."
"FR:M53","FR","M50","Saint Emilion MatÃ©riaux","https://pierredetaille-gironde.fr/","No identity-safe candidate collected."
"FR:M56","FR","M53","TEXTIFLOOR","https://www.textifloor.com/","No identity-safe candidate collected."
"FR:M58","FR","M55","Tonner MatÃ©riaux Anciens","https://www.tonner-materiaux-anciens.fr/","No identity-safe candidate collected."
"FR:M59","FR","M56","Trost Carrelages Anciens","http://www.materiaux-anciens49.com/","No identity-safe candidate collected."
"FR:M61","FR","M58","Vieux Granits","https://www.vieuxgranits.com/","No identity-safe candidate collected."
"FR:O01","FR","O01","Booster du RÃ©emploi (A4MT)","https://www.looping.immo/","No identity-safe candidate collected."
"FR:M19","FR","M19","Gauthey CheminÃ©es","https://cheminees-gauthey.fr/","No identity-safe candidate collected."
"FR:M36","FR","M35","MatÃ©riaux Anciens du Sud","https://www.materiauxanciensdusud.com/","No identity-safe candidate collected."
"FR:M49","FR","M46","Reemployez.fr","https://reemployez.fr/","No identity-safe candidate collected."
"GB:M04","GB","M04","Building Spares Market","https://buildingsparesmarket.co.uk/","No identity-safe candidate collected."
"GB:X03","GB","X03","Warp It","https://www.warp-it.co.uk/","No identity-safe candidate collected."
"GB:X02","GB","X02","Studierende, Schulkinder und Freiwillige","","organisation domain is not accepted"
"GB:U27","GB","U08","Four Bay Structures","https://www.4bay.co.uk/","No identity-safe candidate collected."
"GB:U30","GB","U10","Grants of Shoreditch","https://www.grantsint.com/","No identity-safe candidate collected."
"GB:U04","GB","U02","BakerBrown","https://bakerbrown.studio/","No identity-safe candidate collected."
"GB:M01","GB","M01","Antique Wooden Floors","https://www.antiquewoodenfloors.co.uk/","No identity-safe candidate collected."
"GB:M12","GB","M11","London Reclamation and Salvage Ltd","https://www.londonreclamation.net/","No identity-safe candidate collected."
"GB:M14","GB","M13","Milton Keynes Antiques & Architectural Salvage","https://www.mkantiquesandsalvage.co.uk/","No identity-safe candidate collected."
"GB:M17","GB","M16","Romsey Reclamation","https://www.romseyreclamation.com/","No identity-safe candidate collected."
"GB:M24","GB","M23","The Old Slate Yard","https://theoldslateyard.co.uk/","No identity-safe candidate collected."
"GB:M07","GB","M06","E&A Reclamation","https://www.eandareclamation.com/","No identity-safe candidate collected."
"NL:S02","NL","S02","ReSource Marktplaats","https://play.google.com/store/apps/details?id=com.pss.resource","No identity-safe candidate collected."
"NL:U33","NL","U15","Lagemaat Heerde","https://lagemaat-heerde.nl/","No identity-safe candidate collected."
"NL:S03","NL","S03","Ter Velde & Den Besten","https://terveldedenbesten.nl/","No identity-safe candidate collected."
"NL:M15","NL","M14","Snellen (Rijsbergen)","https://snellen.nl/","No identity-safe candidate collected."
"NL:M09","NL","M08","Handelsonderneming Klepper","https://woodfarm.nl/","No identity-safe candidate collected."
"NL:M13","NL","M12","Regts - Antieke Tegels","https://www.antieketegel.nl/","No identity-safe candidate collected."
"CH:S04","CH","S04","REUZI","https://reuzi.ch/","No identity-safe candidate collected."
"CH:U24","CH","U20","Syphon AG BauteilbÃ¶rse Biel-BrÃ¼gg","https://stiftung-suedkurve.ch/","No identity-safe candidate collected."
