id;cc;von;richtung;nach;beziehungsart;beschreibung;dauer;dauer_status;dauer_begruendung;dauer_warnung;type_correction;evidence_quote;evidence_url;dauer_evidence_quote;dauer_evidence_url
AT:K001;AT;re:store / HarvestMAP Vienna;B→A;materialnomaden;Betreiberschaft;Betrieb als Herausgeberin.;dauerhaft;checked;Der Beleg beschreibt eine fortlaufende strukturelle Rolle.;;;Medieninhaber und Herausgeber: materialnomaden GmbH;https://www.restore.or.at/impressum;Medieninhaber und Herausgeber: materialnomaden GmbH;https://www.restore.or.at/impressum
AT:K002;AT;BIG (Bundesimmob.);B→A;BauKarussell;Dienstleistungsbeziehung;Führte Social Urban Mining am MedUni-Campus durch.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Zwischen Oktober 2019 und Juli 2020 fuehrte BauKarussell im Auftrag der Bundesimmobiliengesellschaft (BIG) Social Urban Mining in Wien Alsergrund durch.;https://www.baukarussell.at/meduni-campus-mariannengasse-wien/;Zwischen Oktober 2019 und Juli 2020 fuehrte BauKarussell im Auftrag der Bundesimmobiliengesellschaft (BIG) Social Urban Mining in Wien Alsergrund durch.;https://www.baukarussell.at/meduni-campus-mariannengasse-wien/
AT:K003;AT;MedUni Wien;—;BauKarussell;Gemeinsames Bauvorhaben;Zusammenarbeit.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Wir freuen uns, dass wir BauKarussell als Projektpartner beim MedUni Campus Mariannengasse gewinnen konnten.;https://www.meduniwien.ac.at/web/ueber-uns/news/detailseite/2019/news-im-dezember-2020/aus-alt-wird-neu-big-meduni-wien-und-baukarussell-nutzen-grosses-re-use-potential-beim-meduni-campus-mariannengasse/;Wir freuen uns, dass wir BauKarussell als Projektpartner beim MedUni Campus Mariannengasse gewinnen konnten.;https://www.meduniwien.ac.at/web/ueber-uns/news/detailseite/2019/news-im-dezember-2020/aus-alt-wird-neu-big-meduni-wien-und-baukarussell-nutzen-grosses-re-use-potential-beim-meduni-campus-mariannengasse/
AT:K004;AT;DRZ;A→B;MedUni Campus Wien;Projektbeteiligung, Aufgabe unklar;"Beteiligung; genaue Rolle noch offen.";projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Operative Partner sind das Demontage- und Recyclingzentrum DRZ Wien.;https://www.baukarussell.at/vom-luster-bis-zum-kupferkabel/;Operative Partner sind das Demontage- und Recyclingzentrum DRZ Wien.;https://www.baukarussell.at/vom-luster-bis-zum-kupferkabel/
AT:K005;AT;DRZ;A→B;Ferry-Dusika-Stadion Rückbau;Rückbau;Rückbau.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Operative Partner sind das Demontage- und Recyclingzentrum DRZ Wien.;https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt;Operative Partner sind das Demontage- und Recyclingzentrum DRZ Wien.;https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt
AT:K006;AT;Die Kümmerei;A→B;Ferry-Dusika-Stadion Rückbau;Rückbau;Rückbau.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Die KUEMMEREI (Traegerin: BFI Wien/Job-TransFair);https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt;Die KUEMMEREI (Traegerin: BFI Wien/Job-TransFair);https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt
AT:K008;AT;MedUni Campus Wien;B→A;BauKarussell;Reuse-Konzept;Reuse-Konzept.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Zwischen Oktober 2019 und Juli 2020 fuehrte BauKarussell im Auftrag der Bundesimmobiliengesellschaft (BIG) Social Urban Mining in Wien Alsergrund durch.;https://www.baukarussell.at/meduni-campus-mariannengasse-wien/;Zwischen Oktober 2019 und Juli 2020 fuehrte BauKarussell im Auftrag der Bundesimmobiliengesellschaft (BIG) Social Urban Mining in Wien Alsergrund durch.;https://www.baukarussell.at/meduni-campus-mariannengasse-wien/
AT:K009;AT;BauKarussell;B→A;Re-Use Austria;Gründung;Gründung der Genossenschaft.;einmalig;checked;Der Beleg beschreibt einen abgeschlossenen Einzelakt.;;;Als Gruendungsmitglied von BauKarussell ist es Re-Use Austria ein besonderes Anliegen, sozialwirtschaftlichen Re-Use-Betrieben ... eine starke Position ...;https://www.baukarussell.at/genossenschaft/;Als Gruendungsmitglied von BauKarussell ist es Re-Use Austria ein besonderes Anliegen, sozialwirtschaftlichen Re-Use-Betrieben ... eine starke Position ...;https://www.baukarussell.at/genossenschaft/
AT:K011;AT;BauKarussell;A→B;Ferry-Dusika-Stadion Rückbau;Reuse-Konzept;Reuse-Konzept.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;BauKarussell mit seinen Partnern im Stadion am Werk;https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt;BauKarussell mit seinen Partnern im Stadion am Werk;https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt
AT:K013;AT;BauKarussell;—;Job-TransFair gemeinnützige GmbH;Konsortialpartner;Mitgliedschaft in der Genossenschaft.;dauerhaft;checked;Der Beleg beschreibt eine fortlaufende strukturelle Rolle.;;;Geschaeftsfuehrer Job-TransFair GmbH ... weil wir dadurch die Chance sehen, unseren Transitarbeitskraeften sehr gute Chancen ... zu eroeffnen.;https://www.baukarussell.at/genossenschaft/;Geschaeftsfuehrer Job-TransFair GmbH ... weil wir dadurch die Chance sehen, unseren Transitarbeitskraeften sehr gute Chancen ... zu eroeffnen.;https://www.baukarussell.at/genossenschaft/
AT:K014;AT;BauKarussell;—;pulswerk GmbH;Konsortialpartner;Mitgliedschaft in der Genossenschaft.;dauerhaft;checked;Der Beleg beschreibt eine fortlaufende strukturelle Rolle.;;;Das BauKarussell-Team setzt sich aus Partnern von pulswerk GmbH, Romm ZT und RepaNet;https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt;Das BauKarussell-Team setzt sich aus Partnern von pulswerk GmbH, Romm ZT und RepaNet;https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt
AT:K021;AT;Re-Use Austria;A→B;Ferry-Dusika-Stadion Rückbau;Rückbau;Rückbau.;projektgebunden;checked;Die belegte Leistung ist an das benannte Vorhaben gebunden.;;;Das BauKarussell-Team setzt sich aus Partnern von pulswerk GmbH, Romm ZT und RepaNet;https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt;Das BauKarussell-Team setzt sich aus Partnern von pulswerk GmbH, Romm ZT und RepaNet;https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt
