Land;Von;Richtung;Nach;Text;sichtbar;vorher
Belgien;Chiro d’Itterbeek;←;Franck;Lieferte Reuse-Ziegel.;ja;Lieferte Reuse-Ziegel für Chiro d’Itterbeek.
Belgien;Chiro d’Itterbeek;←;RotorDC;Lieferte Reuse-Bauteile.;ja;Lieferte Reuse-Bauteile für Chiro d’Itterbeek.
Belgien;BLAF Architecten;→;Maison DnA;Entwurf.;ja;Entwarf Maison DnA.
Belgien;Maison Vignette;←;Franck Bricks;Lieferte Reuse-Ziegel.;ja;Lieferte Reuse-Ziegel für Maison Vignette.
Belgien;Maison Vignette;←;2emain.be;"Beteiligung; genaue Rolle noch offen.";ja;"War an Maison Vignette beteiligt; Aufgabe offen."
Belgien;Musée de Folklore Vie…;←;Bureau Bouwtechniek;Tragwerksplanung.;ja;Plante das Tragwerk für Musée du Folklore de Mouscron.
Belgien;Recypark Demets;←;51N4E;Entwurf.;ja;Entwarf Recypark Demets.
Belgien;Recypark Demets;←;Rotor;Entwurf.;ja;Entwarf Recypark Demets.
Belgien;Zinneke;←;Zinneke asbl;Bauherrschaft.;ja;Verantwortete Zinneke als Bauherrschaft.
Belgien;Zinneke;←;ERDF / FEDER Brüssel-Hauptstadt;Förderung.;ja;Förderte Zinneke.
Belgien;Zinneke;←;Rotor;Fachplanung.;ja;Übernahm die Fachplanung für Zinneke.
Belgien;Rotor;→;RotorDC;Gründung als Spin-off.;ja;Gründete RotorDC als Spin-off.
Belgien;Opalis;←;Brussels Environment;Unterstützte die Entwicklung.;ja;Unterstützte die Entwicklung von Opalis.
Belgien;Embuild;—;Buildwise;Entwickelten das Tool Circulair Gebouwd gemeinsam.;ja;Entwickelten das Tool Circulair Gebouwd gemeinsam.
Belgien;Buildwise;—;Vrije Universiteit Brussel (VUB) – Architectural Engineering;Erarbeiteten gemeinsam einen Reuse-Umbau-Bericht.;ja;Erarbeiteten gemeinsam einen Reuse-Umbau-Bericht.
Belgien;BauMaB Kassel / Bauteilbörse Kassel;←;Stadt Kassel;Initiierte in Klimastrategie.;ja;Initiierte BauMaB in der Kasseler Klimastrategie.
Belgien;OVAM (Openbare Vlaamse Afvalstoffenmaatschappij);—;Tracimat vzw;Kooperierten bei Abbruchnachverfolgung.;ja;Kooperierten bei der Abbruchnachverfolgung.
