type,from_labels,to_labels,count
ANCHORED_BY,Akteur,OntologyAnchor,205
ANCHORED_BY,Akteurrolle,OntologyAnchor,24
ANCHORED_BY,Akteurtyp,OntologyAnchor,10
ANCHORED_BY,Akzeptanz,OntologyAnchor,7
ANCHORED_BY,Aufbereitungsverfahren,OntologyAnchor,45
ANCHORED_BY,BauaufgabeIntervention,OntologyAnchor,10
ANCHORED_BY,Bauobjektklasse,OntologyAnchor,8
ANCHORED_BY,Bauobjektrolle,OntologyAnchor,6
ANCHORED_BY,Bauproduktstatus,OntologyAnchor,15
ANCHORED_BY,Bausystem,OntologyAnchor,9
ANCHORED_BY,Bauteilebene,OntologyAnchor,6
ANCHORED_BY,Bauteiltyp,OntologyAnchor,16
ANCHORED_BY,Bauweise,OntologyAnchor,6
ANCHORED_BY,BauwerkEra,OntologyAnchor,6
ANCHORED_BY,Beschaffungsweg,OntologyAnchor,10
ANCHORED_BY,Defekt,OntologyAnchor,10
ANCHORED_BY,Funktionswechsel,OntologyAnchor,6
ANCHORED_BY,Huerde,OntologyAnchor,28
ANCHORED_BY,HuerdeKategorie,OntologyAnchor,10
ANCHORED_BY,Land,OntologyAnchor,10
ANCHORED_BY,Leistungsanforderung,OntologyAnchor,12
ANCHORED_BY,Logistik,OntologyAnchor,10
ANCHORED_BY,Marktmodell,OntologyAnchor,11
ANCHORED_BY,MatchingQualitaet,OntologyAnchor,9
ANCHORED_BY,Material,OntologyAnchor,24
ANCHORED_BY,Materialgruppe,OntologyAnchor,11
ANCHORED_BY,Methode,OntologyAnchor,13
ANCHORED_BY,Nutzung,OntologyAnchor,9
ANCHORED_BY,Programm,OntologyAnchor,10
ANCHORED_BY,Projekt,OntologyAnchor,35
ANCHORED_BY,Prozessphase,OntologyAnchor,10
ANCHORED_BY,PruefungNachweis,OntologyAnchor,20
ANCHORED_BY,Ressourcenquelle,OntologyAnchor,16
ANCHORED_BY,Rueckbauverfahren,OntologyAnchor,5
ANCHORED_BY,Schadstoff,OntologyAnchor,8
ANCHORED_BY,Status,OntologyAnchor,9
ANCHORED_BY,Tragwerksprinzip,OntologyAnchor,4
ANCHORED_BY,Verbindungstechnik,OntologyAnchor,11
ANCHORED_BY,WiederverwendungsArt,OntologyAnchor,11
ANCHORED_BY,Wirtschaft,OntologyAnchor,12
ANCHORED_BY,ZustandsKlasse,OntologyAnchor,6
APPLIES_IN,ReuseRule,Land,20
APPLIES_TO,ReuseRule,Material,20
BELEGT_IN,Akteur,Quelle;Dossier,437
BELEGT_IN,Akteur,Quelle;ExternalLink,492
BELEGT_IN,Aufbereitungsverfahren,Quelle;ResearchDocument,52
BELEGT_IN,Bauteilgruppe,Quelle;Dossier,370
BELEGT_IN,Bauteiltyp,Quelle;ResearchDocument,8
BELEGT_IN,Bauwerk,Quelle;Dossier,190
BELEGT_IN,Land,Quelle;Dossier,79
BELEGT_IN,Leistungsanforderung,Quelle;ResearchDocument,41
BELEGT_IN,Material,Quelle;ResearchDocument,8
BELEGT_IN,Materialdepot,Quelle;Dossier,23
BELEGT_IN,Norm,Quelle;Dossier,3
BELEGT_IN,Programm,Quelle;Dossier,18
BELEGT_IN,Programm,Quelle;ExternalLink,34
BELEGT_IN,Projekt,Quelle;Dossier,94
BELEGT_IN,Projekt,Quelle;ExternalLink;SectionRef,2756
BELEGT_IN,Projekt,Quelle;SectionRef,8
BELEGT_IN,PruefungNachweis,Quelle;ResearchDocument,113
BELEGT_IN,RechtlicheBedingung,Quelle;Dossier,3
BELEGT_IN,RechtlicheBedingung,Quelle;ResearchDocument,15
BELEGT_IN,Schadstoff,Quelle;ResearchDocument,9
BELEGT_IN,Software,Quelle;Dossier,6
BELEGT_IN,Software,Quelle;ExternalLink,5
BELEGT_IN,Software;Tool,Quelle;Dossier,4
BELEGT_IN,Stadt,Quelle;Dossier,105
BELEGT_IN,Verbindungstechnik,Quelle;Dossier,1
BELEGT_IN,Verbindungstechnik,Quelle;ResearchDocument,12
BELEGT_IN,Wiederverwendungskette,Quelle;Dossier,14
BELEGT_IN,Zertifizierungssystem,Quelle;Dossier,6
BERECHNET_NACH_MODUL,Projekt,LCAModule,8
BETEILIGT_AN,Akteur,Akteur,9
BETEILIGT_AN,Akteur,Bauteilgruppe,8
BETEILIGT_AN,Akteur,Programm,50
BETEILIGT_AN,Akteur,Projekt,507
BETEILIGT_AN,Akteur,Software;Tool,1
BETEILIGT_AN,Stadt,Projekt,1
BETRIEBEN_VON,Akteur,Akteur,2
BETRIEBEN_VON,Materialdepot,Akteur,3
BETRIEBEN_VON,Software,Akteur,1
BUILT_IN_ERA,Bauwerk,BauwerkEra,8
CITED_FROM_DOSSIER,DossierEntityTarget,Quelle;Dossier,6150
CONCERNS,DataIssue,Akteur,5151
CONCERNS,DataIssue,Akteurrolle,1204
CONCERNS,DataIssue,Akteurtyp,668
CONCERNS,DataIssue,Akzeptanz,14
CONCERNS,DataIssue,Aufbereitungsverfahren,680
CONCERNS,DataIssue,BauaufgabeIntervention,158
CONCERNS,DataIssue,Bauobjektklasse,235
CONCERNS,DataIssue,Bauobjektrolle,236
CONCERNS,DataIssue,Bauproduktstatus,101
CONCERNS,DataIssue,Bausystem,82
CONCERNS,DataIssue,Bauteilebene,378
CONCERNS,DataIssue,Bauteilgruppe,11964
CONCERNS,DataIssue,Bauteiltyp,679
CONCERNS,DataIssue,Bauweise,135
CONCERNS,DataIssue,Bauwerk,2330
CONCERNS,DataIssue,BauwerkEra,29
CONCERNS,DataIssue,Beschaffungsweg,295
CONCERNS,DataIssue,DataIssue,64
CONCERNS,DataIssue,Defekt,94
CONCERNS,DataIssue,Funktionswechsel,305
CONCERNS,DataIssue,Huerde,1159
CONCERNS,DataIssue,HuerdeKategorie,177
CONCERNS,DataIssue,Kennwert,412
CONCERNS,DataIssue,LCAModule,21
CONCERNS,DataIssue,Land,902
CONCERNS,DataIssue,Layer,15
CONCERNS,DataIssue,Leistungsanforderung,660
CONCERNS,DataIssue,Logistik,510
CONCERNS,DataIssue,Marktmodell,395
CONCERNS,DataIssue,MatchingQualitaet,196
CONCERNS,DataIssue,Material,672
CONCERNS,DataIssue,Materialdepot,272
CONCERNS,DataIssue,Materialgruppe,527
CONCERNS,DataIssue,Methode,628
CONCERNS,DataIssue,Norm,297
CONCERNS,DataIssue,Nutzung,225
CONCERNS,DataIssue,OntologyAnchor,703
CONCERNS,DataIssue,Programm,206
