type,rel_count
ANCHORED_BY,703
APPLIES_IN,20
APPLIES_TO,20
BELEGT_IN,4906
BERECHNET_NACH_MODUL,8
BETEILIGT_AN,576
BETRIEBEN_VON,6
BUILT_IN_ERA,8
CITED_FROM_DOSSIER,6150
CONCERNS,49111
ERHALT_FOERDERUNG_DURCH,4
EXACT_MATCH_CANDIDATE,306
FROM_DONOR,286
GEHÖRT_ZU,256
GILT_IN_LAND,40
HAS_BAUWERK,184
HAS_DATA_ISSUE,921
HAS_RISK_POLLUTANT,803
HAS_SOURCE_LINK,20
HAT_AKTEURROLLE,1327
HAT_AKTEURTYP,693
HAT_AUFBEREITUNG,448
HAT_BAUOBJEKTKLASSE,227
HAT_BAUOBJEKTROLLE,230
HAT_BAUPRODUKTSTATUS,67
HAT_BAUSYSTEM,64
HAT_BAUTEILEBENE,372
HAT_BAUTEILGRUPPE,369
HAT_BAUTEILTYP,607
HAT_BAUWEISE,129
HAT_BESCHAFFUNGSWEG,285
HAT_DEFEKT,45
HAT_DEFEKT_BEFUND,25
HAT_FUNKTIONSWECHSEL,299
HAT_HUERDE,1068
HAT_HUERDEKATEGORIE,167
HAT_INTERVENTION,148
HAT_KENNWERT,258
HAT_LEISTUNGSANFORDERUNG,561
HAT_LOGISTIK,500
HAT_MARKTMODELL,384
HAT_MATCHINGQUALITAET,187
HAT_MATERIALGRUPPE,516
HAT_METHODE,602
HAT_NUTZUNG,216
HAT_PROZESSPHASE,812
HAT_PRUEFUNG,410
HAT_RECHTLICHE_BEDINGUNG,12
HAT_RESSOURCENQUELLE,567
HAT_RUECKBAUVERFAHREN,301
HAT_STATUS,672
HAT_TRAGWERKSPRINZIP,72
HAT_TYPISCHEN_BAUPRODUKTSTATUS,19
HAT_VERBINDUNGSTECHNIK,131
HAT_WIEDERVERWENDUNGSART,621
HAT_WIRTSCHAFT,46
HAT_WIRTSCHAFTSASPEKT,11
HAT_ZERTIFIZIERUNG,12
HAT_ZUSTANDSKLASSE,40
INTO_RECEIVER,349
IST_UNTERVERFAHREN_VON,28
LIEGT_IN_LAND,554
LIEGT_IN_STADT,261
METHODENGRUNDLAGE_NORM,8
NUTZT_BAUWERK,169
NUTZT_MATERIAL,475
NUTZT_SOFTWARE,51
REFERENZIERT_NORM,145
RELEVANT_FOR,103
REQUIRES_VERIFICATION_FOR,347
STUB_PROJECT_LINK,200
TEILT_LAYER,15
TEIL_VON_KETTE,14
TEIL_VON_PROGRAMM,38
TYPISCH_BEI_BAUTEILTYP,10
TYPISCH_BEI_ERA,15
TYPISCH_BEI_MATERIAL,91
VERBUNDEN_MIT_AKTEUR,310
