old_id,new_id,name,name_full,reuse_status,primary_material_id,primary_bauteiltyp_id,discriminator,n_materials,n_bauteiltypen,dominant_promoted,verbose_trimmed
bg_55gss_reused_steel_external_core,bg_reuse_stahl_mehrere_55gss_external_core,Steel profiles for…,Reused steel profiles for external core,reuse,mat_stahl,bt_mehrere,55gss_external_core,1,2,no,no
bg_alliander_common_roof_atrium,bg_reuse_mehrere_mehrere_alliander_common_roof_atrium,Gemeinsame Überdachung,Gemeinsame Überdachung / Atriumhülle als Transformationsbauteil,reuse,mat_mehrere,bt_mehrere,alliander_common_roof_atrium,3,3,no,no
bg_alliander_material_passport_inventory,bg_reuse_mehrere_ausbau_alliander_material_passport_inventory,Materialpass,Materialpass / dokumentiertes Materialinventar,reuse,mat_mehrere,bt_ausbau,alliander_material_passport_inventory,3,1,no,no
bg_alliander_retained_existing_buildings,bg_retained_mehrere_mehrere_alliander_existing_buildings,Bestandsgebäude des…,Erhaltene Bestandsgebäude des Campus,retained,mat_mehrere,bt_mehrere,alliander_existing_buildings,3,3,no,no
bg_alliander_reused_interior_elements,bg_reuse_mehrere_mehrere_alliander_interior_elements,Innenausbau-Elemente,Teilweise wiederverwendete Innenausbau-Elemente,reuse,mat_mehrere,bt_mehrere,alliander_interior_elements,3,3,no,no
bg_awm_reused_cable_trays_shelves_lights,bg_reuse_stahl_mehrere_awm_cable_trays_shelves_lights,Cable trays as shelves…,Reused cable trays as shelves and lighting carriers,reuse,mat_stahl,bt_mehrere,awm_cable_trays_shelves_lights,1,2,no,no
bg_awm_reused_glass_partitions_doors,bg_reuse_glas_mehrere_awm_partitions_doors,Glass partitions and…,Reused glass partitions and doors,reuse,mat_glas,bt_mehrere,awm_partitions_doors,1,2,no,no
bg_awm_reused_wc_partitions,bg_reuse_kunststoff_wand_awm_wc_partitions,WC partitions,Reused WC partitions,reuse,mat_kunststoff,bt_wand,awm_wc_partitions,1,1,no,no
bg_awm_reused_wood_fixed_builtins,bg_reuse_holz_ausbau_awm_fixed_builtins,Wood for fixed built-ins,Reused wood for fixed built-ins,reuse,mat_holz,bt_ausbau,awm_fixed_builtins,1,1,no,no
bg_awm_wall_cladding_old_chairs,bg_reuse_holz_wand_awm_cladding_old_chairs,Fixed wall cladding…,Fixed wall cladding from old chair parts,reuse,mat_holz,bt_wand,awm_cladding_old_chairs,1,1,no,no
bg_bedzed_reused_fixed_secondary_components,bg_reuse_naturstein_mehrere_bedzed_fixed_secondary_components,Fixed secondary componen…,Reused fixed secondary components,reuse,mat_naturstein,bt_mehrere,bedzed_fixed_secondary_components,3,3,yes,no
bg_bedzed_reused_structural_steel,bg_reuse_stahl_mehrere_bedzed_structural,Structural steel frame…,Reused structural steel frame for workspaces,reuse,mat_stahl,bt_mehrere,bedzed_structural,1,2,no,no
