eid,report_id,country_code,type_id,report_entity_type,actor_name,primary_role,roles,relevance,actor_degree,primary_evidence_url,fallback,evidence_count,evidence_urls,evidence_quotes,evidence_supports_roles,evidence_accessed_at,reuse_objects,strict_review
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5482,BE:X01,BE,X01,,2emain.be,Vermittlungsplattform,Vermittlungsplattform,Vermittelt als Kleinanzeigenplattform gebrauchte Steinplatten für Bauprojekte.,bezug,https://opalis.eu/fr/projets/maison-vignette-karbon-architecture-et-urbanisme,False,1,https://opalis.eu/fr/projets/maison-vignette-karbon-architecture-et-urbanisme,40m² trouvées sur le site de petites annonces 2emain.be.,Vermittlungsplattform,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5639,BE:U01,BE,U01,,51N4E,Architektur,Architektur,Plant den Recypark um 20 geborgene Brettschichtholzbögen aus einer Reithalle.,bezug,https://rotordb.org/en/projects/recypark-anderlecht,False,1,https://rotordb.org/en/projects/recypark-anderlecht,"51N4E, Witteveen&Bos and Rotor joined forces and won the competition with a project that focused on reusing an existing structure",Architektur,2026-08-13,,True
NEW:H:ainsinoorit,FI:U01,FI,U01,,A-Insinöörit,Materialprüfung / Zulassung und Normenkonformität,Materialprüfung | Zulassung und Normenkonformität,Prüft die Produkteignung wiederverwendeter Bauprodukte für die Zulassung.,kern,https://www.ains.fi/palvelut,False,1,https://www.ains.fi/palvelut,Uudelleenkäytettävien rakennustuotteiden tuotekelpoisuus,Materialprüfung | Zulassung und Normenkonformität,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5077,FI:U02,FI,U02,,A-Kruunu,Bauherrschaft,Bauherrschaft,Beauftragt ein Wohnhaus mit wiederverwendeten Hohldeckenplatten.,bezug,https://recreate-project.eu/tag/city-of-tampere/,False,1,https://recreate-project.eu/tag/city-of-tampere/,"The building was built by Skanska for the client, affordable rental housing company A-Kruunu",Bauherrschaft,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5826,DK:U02,DK,U02,,a:gain,Wiederaufbereitung,Wiederaufbereitung,Bereitet Restmaterialien zu standardisierten Bauprodukten für neue Projekte auf.,kern,https://www.again.dk,False,1,https://www.again.dk,"We take discarded materials and remanufacture them into new, standardised building products that meet the same performance and compliance requirements as conventional alternatives.",Wiederaufbereitung,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:47,DE:I01,DE,I01,,Abfallwirtschaftsbetriebe Münster,Bauherrschaft,Bauherrschaft,"Beauftragte den Büro-Umbau mit gebrauchten Trennwänden, Verkleidungen und Möbeln.",bezug,https://awm.stadt-muenster.de/aktuelles/newsdetail/moderne-arbeitswelt-aus-gebrauchten-materialien,False,1,https://awm.stadt-muenster.de/aktuelles/newsdetail/moderne-arbeitswelt-aus-gebrauchten-materialien,"In Zusammenarbeit mit dem Düsseldorfer Unternehmen Urselmann interior, das sich auf Innenausbau nach dem Prinzip cradle-to-cradle spezialisiert hat, ist auf 250 m2 eine moderne Arbeitswelt",Bauherrschaft,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:583,NL:U02,NL,U02,,ABN AMRO,Bauherrschaft,Bauherrschaft,Direkt belegt im baulichen Reuse-Kontext: Bauherrschaft.,bezug,https://www.duurzaamnieuws.nl/abn-amro-geeft-circulair-bouwen-gezicht-met-paviljoen-circl/,False,1,https://www.duurzaamnieuws.nl/abn-amro-geeft-circulair-bouwen-gezicht-met-paviljoen-circl/,Het meubilair in Circl is eerder door ABN AMRO gebruikt en hersteld.,Bauherrschaft,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5287,NL:U03,NL,U03,,ABT,Methodenentwicklung,Methodenentwicklung,Direkt belegt im baulichen Reuse-Kontext: Methodenentwicklung.,kern,https://abt.eu,False,1,https://abt.eu,Losmaakbaarheid: van beoordelingscriterium naar effectief circulair stuurmiddel,Methodenentwicklung,2026-08-13,,True
NEW:H:ahlinandekeroth,SE:U25,SE,U25,,Åhlin & Ekeroth,Investor,Investor,Investiert als Mitinitiator in den regionalen Handel mit gebrauchten Baustoffen.,bezug,https://ahlin-ekeroth.se/bygghubben-i-nytt-samarbete-med-k-bygg/,False,1,https://ahlin-ekeroth.se/bygghubben-i-nytt-samarbete-med-k-bygg/,"Bygghubben, som Åhlin & Ekeroth är delägare i och en av initiativtagarna till",Investor,2026-08-13,,True
4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5390,CH:U04,CH,U04,,aik Architektur + Ingenieur Kollektiv,Bauphysik,Bauphysik,Begleitet die Bauphysik eines Umbaus mit wiederverwendeten Bauteilen.,bezug,https://www.stadt-zuerich.ch/de/planen-und-bauen/portfolio/bauten-anlagen/schulbauten/kindergarten-moeoeslistrasse.html,False,1,https://www.stadt-zuerich.ch/de/planen-und-bauen/portfolio/bauten-anlagen/schulbauten/kindergarten-moeoeslistrasse.html,"Bauphysik (Building Physics): aik, Architektur + Ingenieur Kollektiv, Zürich",Bauphysik,2026-08-13,,True
